Case Number,Date,Block,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
JJ188039,03/19/2025 03:00:00 PM,035XX S STATE ST,ROBBERY,STRONG ARM - NO WEAPON,CTA TRAIN,false,false,0213,002,3,35,03,1176846,1881708,2025,03/27/2025 03:41:41 PM,41.830750796,-87.626643572,POINT (-87.626643572 41.830750796)
JJ187356,03/19/2025 12:55:00 PM,001XX W 35TH ST,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",STREET,true,false,0211,002,11,35,08B,1175997,1881780,2025,03/27/2025 03:41:41 PM,41.830967493,-87.629756405,POINT (-87.629756405 41.830967493)
JJ186463,03/18/2025 06:05:00 PM,030XX S MICHIGAN AVE,DECEPTIVE PRACTICE,COMPUTER FRAUD,BANK,false,false,0133,001,4,35,11,1177743,1884654,2025,03/26/2025 03:41:04 PM,41.838814549,-87.623263115,POINT (-87.623263115 41.838814549)
JJ187528,03/18/2025 06:00:00 PM,035XX S MICHIGAN AVE,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,0213,002,3,35,11,1177772,1881665,2025,03/26/2025 03:41:04 PM,41.830611847,-87.623247369,POINT (-87.623247369 41.830611847)
JJ184861,03/17/2025 02:00:00 PM,031XX S FEDERAL ST,CRIMINAL DAMAGE,TO PROPERTY,PARKING LOT / GARAGE (NON RESIDENTIAL),false,true,0211,002,3,35,14,1176195,1884376,2025,03/25/2025 03:52:07 PM,41.838086672,-87.628951832,POINT (-87.628951832 41.838086672)
JJ184903,03/17/2025 01:40:00 PM,035XX S STATE ST,ASSAULT,SIMPLE,BANK,false,false,0213,002,3,35,08A,1176847,1881660,2025,03/25/2025 03:52:07 PM,41.830619057,-87.626641352,POINT (-87.626641352 41.830619057)
JJ183559,03/16/2025 10:45:00 AM,034XX S MICHIGAN AVE,BATTERY,SIMPLE,NURSING / RETIREMENT HOME,false,false,0211,002,3,35,08B,1177756,1882311,2025,03/24/2025 03:41:15 PM,41.832384884,-87.623286482,POINT (-87.623286482 41.832384884)
JJ183576,03/15/2025 02:15:00 PM,031XX S MICHIGAN AVE,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,false,false,0211,002,3,35,07,1177699,1884310,2025,03/23/2025 03:42:04 PM,41.837871585,-87.623435005,POINT (-87.623435005 41.837871585)
JJ188078,03/14/2025 11:00:00 PM,031XX S WABASH AVE,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,0211,002,3,35,06,1177234,1884424,2025,03/22/2025 03:41:01 PM,41.838194943,-87.625137837,POINT (-87.625137837 41.838194943)
JJ179881,03/13/2025 02:00:00 PM,0000X E 35TH ST,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,0213,002,3,35,26,1177570,1881818,2025,03/21/2025 03:51:29 PM,41.83103627,-87.623983873,POINT (-87.623983873 41.83103627)
